street_name,long_snode,lat_snode,long_enode,lat_enode,length_km
18,106.5374757,10.6812591,106.5402437,10.681695,0.306313602275458
3 Tháng 2,106.6811565,10.7776498,106.6482993,10.7575536,4.227997174817223
3 Tháng 2,106.6482993,10.7575536,106.6597513,10.7637713,3.075320649739652
3 Tháng 2,106.6597513,10.7637713,106.6734728,10.7711007,5.344800103546696
3 Tháng 2,106.6494435,10.7580658,106.6665142,10.7674299,3.8612904405286352
3 Tháng 2,106.6665142,10.7674299,106.6639913,10.766037,0.31613533263555194
An Dương Vương,106.6664058,10.7560028,106.669461,10.7566534,0.40886298418034317
An Phú Đông,106.6884983,10.8581333,106.688522,10.8580682,0.007687557464635931
An Phú Đông 10,106.6962199,10.8576365,106.6964506,10.8565038,0.12844546983898628
An Phú Đông 3,106.7063222,10.8547157,106.7068791,10.8547574,0.060992995958662775
Bà Hom,106.6313514,10.7546911,106.6311219,10.754722,0.02530533966015118
Bà Huyện Thanh Quan,106.6832444,10.7807155,106.6884634,10.7767699,0.7193638391056946
Bành Văn Trân,106.6569689,10.7904195,106.657746,10.7883571,0.24453318927011006
Bàu Cát,106.6429867,10.7922881,106.6410455,10.7929669,0.22506729888310167
Bình Lợi,106.7053404,10.8315214,106.7054531,10.8311762,0.04030962614246583
Bình Thới,106.6512531,10.7684923,106.6422657,10.7628698,1.1656659318328844
Bình Trị Đông,106.6100165,10.7614144,106.6100099,10.76138,0.0038924598723279837
Bùi Hữu Nghĩa,106.6742704,10.7555638,106.6976069,10.7940986,4.985811630910789
Bùi Thị Xuân,106.6626344,10.7984947,106.6628737,10.7979599,0.06495778114457387
Bưng Ông Thoàn,106.7973612,10.8139216,106.7970824,10.8144883,0.06998587962023772
Bưng Ông Thòan,106.7887386,10.828493,106.7885591,10.8287562,0.03522567653299167
Bạch Đằng,106.6785067,10.8143903,106.710341,10.8029569,3.702149443838336
Bạch Đằng,106.7101437,10.8029724,106.6656805,10.8139316,5.016418970721467
Bạch Đằng,106.7048266,10.8033698,106.6656805,10.8139316,4.433984241659095
Bảy Hiền,106.6516978,10.7894105,106.6518377,10.7897093,0.03657071727335778
Bắc Hải,106.6563416,10.7781305,106.6633132,10.7855566,1.0521037718827386
Bến Bình Đông,106.6604156,10.7482848,106.6604156,10.7482848,0.0
Bến Cát,106.6568031,10.7852199,106.6568613,10.7851391,0.011006203018470197
Bến Hàm Tử,106.673072,10.7494447,106.6681836,10.7507824,0.5543542944578488
Bến Vân Đồn,106.6937223,10.7584116,106.6918919,10.7573004,0.23505034550505954
Bờ Bao Tân Thắng,106.6216983,10.8073924,106.6186403,10.8012197,0.7633269530359083
Calmette,106.6997404,10.7673072,106.6976851,10.7699124,0.3665025060012066
Cao Thắng,106.678801,10.7729223,106.6791758,10.7725943,0.3058197935808489
Cao Xuân Dục,106.6603737,10.7470453,106.6591277,10.746165,0.16765982246336256
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8473249,10.7860991,106.8178943,10.7918961,3.279301204886103
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8178943,10.7918961,106.8557067,10.785892,8.260880364180807
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.7995037,10.7950193,106.8557067,10.785892,6.2223156895811425
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8630211,10.7862476,106.8450235,10.786298,3.9333303393041903
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.7824691,10.7964727,106.775074,10.7962415,4.119973671522898
Chu Văn An,106.6960454,10.8113215,106.7048425,10.811203,0.9609207022344093
Châu Văn Liêm,106.6590317,10.7519402,106.6584782,10.7537895,0.10766246736416261
Chợ Lớn,106.6255188,10.7444411,106.6258206,10.7444479,0.03297896422509702
Cách Mạng Tháng Tám,106.68085,10.7782417,106.662713,10.7879441,3.6344576697042172
Cách Mạng Tháng Tám,106.6724641,10.7827246,106.6732878,10.7822806,0.10262943695096628
Cây Bàng,106.5920538,10.7187059,106.5920047,10.7189172,0.024100100506491303
Công Trường Dân Chủ,106.6815724,10.7775778,106.6815724,10.7775778,0.0
Công Trường Mê Linh,106.7065305,10.7748291,106.7065815,10.7748385,0.005668165519613637
Công Trường Quách Thị Trang,106.6986125,10.7712269,106.6986499,10.7718767,0.07236987001485398
Công Trường Quốc Tế,106.6962159,10.7829947,106.6955259,10.7826997,0.08219860525571847
Công Xã Paris,106.7000845,10.7791557,106.6999777,10.7792456,0.015363131360668893
Cầu 15B,106.7312394,10.7132819,106.7313098,10.7131905,0.012745700112849671
Cầu An Lập,106.602171,10.729901,106.60178,10.7277176,0.24651236491230258
Cầu Bình Lợi,106.7061476,10.8235017,106.706066,10.8239671,0.7037489852272505
Cầu Bình Phú,106.7343846,10.8547733,106.7349099,10.8550441,0.06478823759510852
Cầu Bình Phước 2,106.7150626,10.8607907,106.7155477,10.8612059,0.07026938795469653
Cầu Bình Triệu 1,106.7136257,10.8215874,106.713869,10.8233581,0.19867787203272647
Cầu Bình Triệu 2,106.7135696,10.8235017,106.7129039,10.8190196,0.5036621588576534
Cầu Bông,106.6959206,10.7929272,106.6960125,10.7941308,0.1342101290462883
