street_name,long_snode,lat_snode,long_enode,lat_enode
18,106.5374757,10.6812591,106.5402437,10.681695
3 Tháng 2,106.6811565,10.7776498,106.6482993,10.7575536
3 Tháng 2,106.6482993,10.7575536,106.6562075,10.7618422
3 Tháng 2,106.6562075,10.7618422,106.6453021,10.755822
3 Tháng 2,106.6656006,10.7667954,106.6597513,10.7637713
3 Tháng 2,106.6597513,10.7637713,106.6640311,10.7659517
3 Tháng 2,106.6639913,10.766037,106.6494435,10.7580658
3 Tháng 2,106.6494435,10.7580658,106.6734728,10.7711007
3 Tháng 2,106.6734728,10.7711007,106.6665142,10.7674299
3 Tháng 2,106.6665142,10.7674299,106.6639913,10.766037
An Dương Vương,106.6664058,10.7560028,106.6697746,10.7566251
An Dương Vương,106.6697746,10.7566251,106.669461,10.7566534
An Phú Đông,106.6884983,10.8581333,106.688522,10.8580682
An Phú Đông 10,106.6962199,10.8576365,106.6964506,10.8565038
An Phú Đông 3,106.7063222,10.8547157,106.7068791,10.8547574
Bà Hom,106.6313514,10.7546911,106.6311219,10.754722
Bà Huyện Thanh Quan,106.6832444,10.7807155,106.6884634,10.7767699
Bành Văn Trân,106.6569689,10.7904195,106.657746,10.7883571
Bàu Cát,106.6429867,10.7922881,106.6410455,10.7929669
Bình Lợi,106.7053404,10.8315214,106.7054531,10.8311762
Bình Thới,106.6512531,10.7684923,106.6476679,10.7661016
Bình Thới,106.6476679,10.7661016,106.643989,10.7636884
Bình Thới,106.643989,10.7636884,106.6422657,10.7628698
Bình Trị Đông,106.6100165,10.7614144,106.6100099,10.76138
Bùi Hữu Nghĩa,106.6742704,10.7555638,106.6976069,10.7940986
Bùi Thị Xuân,106.6626344,10.7984947,106.6628737,10.7979599
Bưng Ông Thoàn,106.7973612,10.8139216,106.7970824,10.8144883
Bưng Ông Thòan,106.7887386,10.828493,106.7885591,10.8287562
Bạch Đằng,106.6785067,10.8143903,106.710341,10.8029569
Bạch Đằng,106.7101437,10.8029724,106.7048266,10.8033698
Bạch Đằng,106.7048266,10.8033698,106.6656805,10.8139316
Bảy Hiền,106.6516978,10.7894105,106.6518377,10.7897093
Bắc Hải,106.6563416,10.7781305,106.6588525,10.7807392
Bắc Hải,106.658922,10.780807,106.6613755,10.7833862
Bắc Hải,106.6617536,10.7837858,106.6633132,10.7855566
Bến Bình Đông,106.6604156,10.7482848,106.6604156,10.7482848
Bến Cát,106.6568031,10.7852199,106.6568613,10.7851391
Bến Hàm Tử,106.673072,10.7494447,106.6681836,10.7507824
Bến Vân Đồn,106.6937223,10.7584116,106.6918919,10.7573004
Bờ Bao Tân Thắng,106.6216983,10.8073924,106.6186403,10.8012197
Calmette,106.6997404,10.7673072,106.6976851,10.7699124
Cao Thắng,106.678801,10.7729223,106.6802249,10.7716819
Cao Thắng,106.6798441,10.7720072,106.6791758,10.7725943
Cao Xuân Dục,106.6603737,10.7470453,106.6591277,10.746165
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8473249,10.7860991,106.843937,10.7866225
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.843937,10.7866225,106.8358795,10.7883612
Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,106.8358795,10.7883612,106.8268185,10.790253
